"timeid","DFG_year","plot_id","var","rep","nitrogen","appl","TT","trait","group","g","trt","part","BBCH","Trait","Das","Acc_Radiation","namCombine"
"Early","DFG2019",49,"Pionier","2","220","Combined",1231.0875,"LAI","2019-05-07","Combined_220_Early","Combined 220",NA,NA,3.72,194,1281.29256,"LAI"
"Early","DFG2019",1,"Pionier","1","220","Combined",1231.0875,"LAI","2019-05-07","Combined_220_Early","Combined 220",NA,NA,4.47,194,1281.29256,"LAI"
"Early","DFG2019",48,"Patras","2","220","Split",1231.0875,"LAI","2019-05-07","Split_220_Early","Split 220",NA,NA,3.53,194,1281.29256,"LAI"
"Early","DFG2019",3,"Apertus","1","220","Combined",1231.0875,"LAI","2019-05-07","Combined_220_Early","Combined 220",NA,NA,2.93,194,1281.29256,"LAI"
"Early","DFG2019",81,"Apertus","3","176","Split",1231.0875,"LAI","2019-05-07","Split_176_Early","Split 176",NA,NA,3.76,194,1281.29256,"LAI"
"Late","DFG2019",95,"Patras","3","176","Split",1116.89166666667,"LAI","2019-05-07","Split_176_Late","Split 176",NA,NA,1.77,180,1224.42012,"LAI"
"Late","DFG2019",64,"Capone","2","220","Combined",1116.89166666667,"LAI","2019-05-07","Combined_220_Late","Combined 220",NA,NA,2.85,180,1224.42012,"LAI"
"Late","DFG2019",94,"Pionier","3","176","Split",1116.89166666667,"LAI","2019-05-07","Split_176_Late","Split 176",NA,NA,3.4,180,1224.42012,"LAI"
"Late","DFG2019",35,"Patras","2","220","Split",1116.89166666667,"LAI","2019-05-07","Split_220_Late","Split 220",NA,NA,3.01,180,1224.42012,"LAI"
"Late","DFG2019",61,"Apertus","2","220","Combined",1116.89166666667,"LAI","2019-05-07","Combined_220_Late","Combined 220",NA,NA,3.22,180,1224.42012,"LAI"
"Late","DFG2019",72,"Patras","3","220","Combined",1116.89166666667,"LAI","2019-05-07","Combined_220_Late","Combined 220",NA,NA,2.8,180,1224.42012,"LAI"
"Late","DFG2019",34,"Pionier","2","220","Split",1116.89166666667,"LAI","2019-05-07","Split_220_Late","Split 220",NA,NA,3.66,180,1224.42012,"LAI"
"Late","DFG2019",44,"Capone","2","176","Split",1116.89166666667,"LAI","2019-05-07","Split_176_Late","Split 176",NA,NA,3.21,180,1224.42012,"LAI"
"Late","DFG2019",24,"Apertus","1","176","Combined",1116.89166666667,"LAI","2019-05-07","Combined_176_Late","Combined 176",NA,NA,2.95,180,1224.42012,"LAI"
"Late","DFG2019",14,"Pionier","1","220","Combined",1116.89166666667,"LAI","2019-05-07","Combined_220_Late","Combined 220",NA,NA,3.52,180,1224.42012,"LAI"
"Late","DFG2019",33,"Apertus","2","220","Split",1116.89166666667,"LAI","2019-05-07","Split_220_Late","Split 220",NA,NA,3.56,180,1224.42012,"LAI"
"Late","DFG2019",80,"Patras","3","176","Combined",1116.89166666667,"LAI","2019-05-07","Combined_176_Late","Combined 176",NA,NA,3.06,180,1224.42012,"LAI"
"Late","DFG2019",20,"Pionier","1","220","Split",1116.89166666667,"LAI","2019-05-07","Split_220_Late","Split 220",NA,NA,3.87,180,1224.42012,"LAI"
"Late","DFG2019",96,"Capone","3","176","Split",1116.89166666667,"LAI","2019-05-07","Split_176_Late","Split 176",NA,NA,1.9,180,1224.42012,"LAI"
"Late","DFG2019",42,"Pionier","2","176","Split",1116.89166666667,"LAI","2019-05-07","Split_176_Late","Split 176",NA,NA,4.06,180,1224.42012,"LAI"
"Late","DFG2019",71,"Pionier","3","220","Combined",1116.89166666667,"LAI","2019-05-07","Combined_220_Late","Combined 220",NA,NA,3.34,180,1224.42012,"LAI"
"Late","DFG2019",78,"Apertus","3","176","Combined",1116.89166666667,"LAI","2019-05-07","Combined_176_Late","Combined 176",NA,NA,3.46,180,1224.42012,"LAI"
