"DFG_year","timeid","var","nitrogen","appl","GLA50","S","TT59","TT55","TT61","GCD59","GCD61","GCD55","LAImax59","LAImaxTT59","LAImax61","LAImaxTT61","LAImax55","LAImaxTT55","TT87","LAD59","LAD61","LAD55","GCD87"
"DFG2020","Late","Capone","220","Split",2319.21923995078,32.1253181204352,1690.03733989762,1589.49759167065,1633.7875,629.181900053156,685.43173995078,729.721648280127,6.11,1644.475,5.94,1545.84166666667,5.94,1545.84166666667,2434.775,3775.79326641895,4004.85466257955,4267.93445082647,115.555760049221
"DFG2020","Late","Esket","176","Combined",2204.57068372998,27.8014738373692,1677.30957532112,1582.86087773739,1623.1,527.261108408861,581.47068372998,621.70980599259,4.76,1545.84166666667,4.76,1545.84166666667,4.76,1545.84166666667,2335.51388888889,2456.14367405757,2714.09634961998,2905.60683588326,130.943205158907
"DFG2020","Late","Esket","176","Split",2192.82487214865,20.2746111343336,1681.04056339228,1581.59355609237,1612.4125,511.784308756377,580.412372148654,611.231316056281,4.22,1644.475,4.2,1545.84166666667,4.2,1545.84166666667,2407.88472222222,2124.5530653585,2401.83333350215,2531.062904965,215.059850073566
"DFG2020","Late","Esket","220","Combined",2253.20756553557,23.5617470165744,1689.42556225089,1595.0888947904,1633.7875,563.782003284678,619.420065535571,658.118670745169,4.78,1433.075,4.78,1433.075,4.78,1433.075,2346.32916666666,2564.6838319973,2830.42552273311,3015.33221270929,93.1216011310921
"DFG2020","Late","Esket","220","Split",2294.96497984293,22.6932713188499,1692.37500873171,1595.04134002907,1644.475,602.589971111229,650.489979842935,699.923639813867,6.38,1644.475,6.38,1644.475,6.21,1560.4,2388.74722222222,3653.03702233459,3958.41530097337,4159.808200766,93.7822423792854
"DFG2020","Late","Patras","176","Combined",2182.59240402865,20.3377091488049,1687.97467889426,1597.23540828692,1623.1,494.617725134391,559.492404028648,585.356995741724,5.15,1545.84166666667,5.15,1545.84166666667,5.15,1545.84166666667,2346.32916666666,2464.76672327524,2797.63583241962,2930.56381662237,163.736762638015
"DFG2020","Late","Patras","176","Split",2154.72730053789,20.9160474888529,1670.92711239836,1579.43109439635,1590.22222222222,483.800188139537,564.505078315671,575.296206141546,5.2,1545.84166666667,5.2,1545.84166666667,5.2,1545.84166666667,2296.70555555555,2419.3979010138,2837.78157168278,2893.80459296783,141.978255017659
"DFG2020","Late","Patras","220","Combined",2231.37657725694,26.7467042789883,1688.83861765735,1596.62416011728,1612.4125,542.537959599587,618.964077256937,634.752417139658,5.63,1644.475,4.64,1545.84166666667,4.64,1545.84166666667,2346.32916666666,2964.40361627297,2797.63050684503,2870.8775617965,114.952589409726
"DFG2020","Late","Patras","220","Split",2236.99193083631,24.8658773405854,1674.62182954188,1577.22498318144,1623.1,562.370101294432,613.891930836312,659.766947654873,5.73,1433.075,5.73,1433.075,5.73,1433.075,2388.74722222222,3154.21309215841,3449.27968170176,3712.07890188581,151.755291385908
"DFG2020","Late","Pionier","176","Combined",2257.72854071313,37.0576447003353,1713.24559609351,1618.02306680243,1644.475,544.482944619628,613.253540713135,639.705473910706,4.88,1627.82916666667,4.88,1627.82916666667,4.16,1433.075,2388.74722222222,2632.57677547415,2968.17100645104,2640.28352239254,131.018681509085
"DFG2020","Late","Pionier","176","Split",2276.4071737605,30.5156120251685,1707.71215873714,1608.85006205301,1636.00277777778,568.695015023364,640.404395982724,667.557111707495,5.74,1545.84166666667,5.74,1545.84166666667,5.74,1545.84166666667,2430.89861111111,3227.6093841952,3639.18547807661,3795.03695093685,154.491437350609
"DFG2020","Late","Pionier","220","Combined",2341.75848337522,34.7046836037431,1727.70820138053,1633.06833847367,1681.08333333333,614.050281994686,660.675150041888,708.690144901544,5.91,1627.82916666667,5.91,1627.82916666667,5.91,1627.82916666667,2411.76111111111,3517.6934582121,3793.24177635613,4077.00858491415,70.002627735892
